#633-NPs water	
# Wavelength (nm)	%R
1656	37.80565643
1655	37.78936386
1654	37.76134872
1653	37.73124313
1652	37.71407318
1651	37.74604034
1650	37.64526749
1649	37.6384964
1648	37.58939743
1647	37.57301712
1646	37.62459564
1645	37.54124451
1644	37.5321846
1643	37.45894623
1642	37.43598557
1641	37.42926025
1640	37.38859177
1639	37.35671234
1638	37.31149292
1637	37.31070328
1636	37.26855087
1635	37.32640839
1634	37.21315384
1633	37.17576599
1632	37.16284561
1631	37.15439606
1630	37.11216736
1629	37.07317352
1628	37.08312988
1627	37.07069778
1626	36.99700928
1625	36.99026108
1624	36.94228745
1623	36.88778687
1622	36.88424683
1621	36.83256149
1620	36.79618454
1619	36.8309021
1618	36.80867767
1617	36.73413086
1616	36.73421097
1615	36.72159958
1614	36.63141251
1613	36.63578033
1612	36.56324005
1611	36.55901718
1610	36.50696182
1609	36.56749725
1608	36.48513412
1607	36.42656326
1606	36.43186569
1605	36.41917038
1604	36.37551498
1603	36.3696022
1602	36.32281876
1601	36.27349091
1600	36.23799515
1599	36.22467422
1598	36.20458221
1597	36.12036133
1596	36.11268616
1595	36.08470917
1594	36.09498596
1593	36.0199585
1592	35.99964523
1591	35.98233032
1590	35.94483185
1589	35.90159988
1588	35.88694382
1587	35.87718201
1586	35.79024506
1585	35.83498764
1584	35.76145172
1583	35.72835159
1582	35.69485092
1581	35.66925049
1580	35.61332703
1579	35.59656906
1578	35.58724213
1577	35.59785843
1576	35.52788162
1575	35.49210358
1574	35.51509476
1573	35.39506149
1572	35.40209961
1571	35.36103821
1570	35.35704803
1569	35.32424927
1568	35.26399612
1567	35.22215271
1566	35.22941208
1565	35.20243454
1564	35.17211533
1563	35.16711426
1562	35.12406158
1561	35.09964371
1560	35.02159119
1559	35.03291321
1558	35.01268387
1557	34.97972488
1556	34.95220566
1555	34.89427567
1554	34.89853287
1553	34.89464569
1552	34.82439041
1551	34.81163406
1550	34.75665283
1549	34.7400589
1548	34.70304489
1547	34.68950272
1546	34.71819305
1545	34.62888336
1544	34.59735489
1543	34.59860229
1542	34.58195877
1541	34.54030228
1540	34.47784805
1539	34.48145294
1538	34.46011353
1537	34.43828583
1536	34.43372726
1535	34.39210892
1534	34.3459053
1533	34.32221222
1532	34.33503342
1531	34.29523849
1530	34.24469376
1529	34.2207222
1528	34.19327927
1527	34.20656204
1526	34.18698883
1525	34.12404251
1524	34.09205246
1523	34.11436462
1522	34.04323959
1521	34.0113945
1520	34.00986862
1519	33.98949051
1518	33.99972153
1517	33.91641235
1516	33.92613983
1515	33.90921783
1514	33.89571381
1513	33.8583374
1512	33.82743073
1511	33.77735138
1510	33.80158615
1509	33.80081177
1508	33.73345184
1507	33.68528366
1506	33.70224762
1505	33.66851044
1504	33.63666153
1503	33.59858322
1502	33.60608673
1501	33.59499359
1500	33.56144333
1499	33.58057404
1498	33.52817535
1497	33.46818542
1496	33.49086761
1495	33.46288681
1494	33.4530983
1493	33.4135437
1492	33.41533661
1491	33.34337616
1490	33.36240005
1489	33.33315277
1488	33.31519699
1487	33.25588989
1486	33.26131439
1485	33.24232864
1484	33.23456573
1483	33.18256378
1482	33.19003296
1481	33.12889862
1480	33.16661453
1479	33.13029861
1478	33.0755806
1477	33.03953934
1476	33.06706238
1475	33.02677155
1474	33.01440048
1473	32.99863815
1472	33.02574921
1471	32.97665787
1470	32.94297409
1469	32.92504883
1468	32.90581512
1467	32.86545944
1466	32.8431282
1465	32.85505295
1464	32.82065201
1463	32.79084396
1462	32.76108932
1461	32.79671097
1460	32.7382164
1459	32.741745
1458	32.67359543
1457	32.69315338
1456	32.69772339
1455	32.63648605
1454	32.64590073
1453	32.60975647
1452	32.58158112
1451	32.60283661
1450	32.55106735
1449	32.55392838
1448	32.51911926
1447	32.51881409
1446	32.50743866
1445	32.45562744
1444	32.45833969
1443	32.44347382
1442	32.4579277
1441	32.43183899
1440	32.3863945
1439	32.40900803
1438	32.37829208
1437	32.32538605
1436	32.33524704
1435	32.32701111
1434	32.30587387
1433	32.29114151
1432	32.27846146
1431	32.27622986
1430	32.25335312
1429	32.26659775
1428	32.21269608
1427	32.21959305
1426	32.2187233
1425	32.16001511
1424	32.20787811
1423	32.14968109
1422	32.14941788
1421	32.17100906
1420	32.15823364
1419	32.1364975
1418	32.16892624
1417	32.09944534
1416	32.16625595
1415	32.15979767
1414	32.13644409
1413	32.12384415
1412	32.14899445
1411	32.13725662
1410	32.16524506
1409	32.16140747
1408	32.19797897
1407	32.15062714
1406	32.22044754
1405	32.21175385
1404	32.2167511
1403	32.21700287
1402	32.23096848
1401	32.27497864
1400	32.2292366
1399	32.2958107
1398	32.2420311
1397	32.27761841
1396	32.32704163
1395	32.30636978
1394	32.34144592
1393	32.31148148
1392	32.34562302
1391	32.38876724
1390	32.3599968
1389	32.37292862
1388	32.41232681
1387	32.40200043
1386	32.46342468
1385	32.44866562
1384	32.44858551
1383	32.39677429
1382	32.40900803
1381	32.41821671
1380	32.3597641
1379	32.34658051
1378	32.32013702
1377	32.35403061
1376	32.34622192
1375	32.29129791
1374	32.28005219
1373	32.26276398
1372	32.21976471
1371	32.23025894
1370	32.22546387
1369	32.17922592
1368	32.18687057
1367	32.15589142
1366	32.14640045
1365	32.14399338
1364	32.12329865
1363	32.12886429
1362	32.10596848
1361	32.08699417
1360	32.1122818
1359	32.07181168
1358	32.08397675
1357	32.05400848
1356	32.02596283
1355	32.03993225
1354	32.03770065
1353	32.01457977
1352	32.03606415
1351	32.00772858
1350	32.03455734
1349	32.00191498
1348	32.01949692
1347	31.99760056
1346	31.98212433
1345	32.00269318
1344	31.97899246
1343	31.98303223
1342	32.00816727
1341	31.94856644
1340	31.94634247
1339	31.9636879
1338	31.96231079
1337	31.95225906
1336	31.93008614
1335	31.93660164
1334	31.9339962
1333	31.90307236
1332	31.92597008
1331	31.91601944
1330	31.89064598
1329	31.90032768
1328	31.90588379
1327	31.87140274
1326	31.87749672
1325	31.89558411
1324	31.89225197
1323	31.84123611
1322	31.86617851
1321	31.8410511
1320	31.87428665
1319	31.86315536
1318	31.84908104
1317	31.82027435
1316	31.82519341
1315	31.81862831
1314	31.84879112
1313	31.84828377
1312	31.81467438
1311	31.81975746
1310	31.79128838
1309	31.82304192
1308	31.81131554
1307	31.82164955
1306	31.82407379
1305	31.77249146
1304	31.76696014
1303	31.78695679
1302	31.79153442
1301	31.78129768
1300	31.76379204
1299	31.76358032
1298	31.77875519
1297	31.74216843
1296	31.75930595
1295	31.76049805
1294	31.73917007
1293	31.75349808
1292	31.74600601
1291	31.74491882
1290	31.75773048
1289	31.73323822
1288	31.74036789
1287	31.71116447
1286	31.73055649
1285	31.72071266
1284	31.72243309
1283	31.71975899
1282	31.74598312
1281	31.71593285
1280	31.72227669
1279	31.72731972
1278	31.70625496
1277	31.73158455
1276	31.7278595
1275	31.72296333
1274	31.70093536
1273	31.71336746
1272	31.69592857
1271	31.73707199
1270	31.69952965
1269	31.71460915
1268	31.7260704
1267	31.71204567
1266	31.72398758
1265	31.70838928
1264	31.69286537
1263	31.71266556
1262	31.73471451
1261	31.71621895
1260	31.71954155
1259	31.70854187
1258	31.70721817
1257	31.71046638
1256	31.69621849
1255	31.73508072
1254	31.73400116
1253	31.71339035
1252	31.73477364
1251	31.71154213
1250	31.74141884
1249	31.74406815
1248	31.74994659
1247	31.75607681
1246	31.74274826
1245	31.75970078
1244	31.74603653
1243	31.76791954
1242	31.75260735
1241	31.75836563
1240	31.75823021
1239	31.76086617
1238	31.75409508
1237	31.77345657
1236	31.75636864
1235	31.78544998
1234	31.80355453
1233	31.75800705
1232	31.78153038
1231	31.78405762
1230	31.77028275
1229	31.78138161
1228	31.79083252
1227	31.77840424
1226	31.77373123
1225	31.80254364
1224	31.80317879
1223	31.82674026
1222	31.81617546
1221	31.80544281
1220	31.82479477
1219	31.81293678
1218	31.83782768
1217	31.84525108
1216	31.85177231
1215	31.88062096
1214	31.87590218
1213	31.864151
1212	31.86912155
1211	31.89440918
1210	31.874403
1209	31.9157486
1208	31.90458679
1207	31.88879776
1206	31.91871071
1205	31.90816689
1204	31.92766953
1203	31.93669891
1202	31.95599937
1201	31.96476936
1200	31.93596077
1199	31.96474075
1198	31.97894669
1197	31.9804306
1196	31.96417999
1195	32.02404785
1194	32.00387955
1193	32.03979492
1192	32.02047348
1191	32.04337692
1190	32.04256058
1189	32.08674622
1188	32.05783844
1187	32.07898331
1186	32.07521439
1185	32.09492111
1184	32.12444687
1183	32.12012863
1182	32.10736084
1181	32.13108444
1180	32.15013885
1179	32.15362549
1178	32.16875076
1177	32.18649292
1176	32.18062592
1175	32.18830109
1174	32.22274017
1173	32.22902298
1172	32.22655106
1171	32.25906372
1170	32.23965836
1169	32.24603271
1168	32.25360489
1167	32.27275848
1166	32.30427551
1165	32.32680511
1164	32.31175232
1163	32.31921005
1162	32.31309509
1161	32.33412933
1160	32.3639679
1159	32.38552856
1158	32.38460541
1157	32.39234543
